Timestamp,Yaw_Angle(degrees)
2025-10-25 09:53:19,9.75
2025-10-25 09:53:19,9.81
2025-10-25 09:53:19,9.87
2025-10-25 09:53:19,9.93
2025-10-25 09:53:19,10
2025-10-25 09:53:19,10.06
2025-10-25 09:53:19,10.12
2025-10-25 09:53:19,10.12
2025-10-25 09:53:19,10.25
2025-10-25 09:53:19,10.31
2025-10-25 09:53:19,10.34
2025-10-25 09:53:19,10.43
2025-10-25 09:53:19,10.5
2025-10-25 09:53:19,10.62
2025-10-25 09:53:19,10.68
2025-10-25 09:53:20,10.75
2025-10-25 09:53:20,10.87
2025-10-25 09:53:20,10.93
2025-10-25 09:53:20,11.06
2025-10-25 09:53:20,11.12
2025-10-25 09:53:20,11.18
2025-10-25 09:53:20,11.25
2025-10-25 09:53:20,11.37
2025-10-25 09:53:20,11.43
2025-10-25 09:53:20,11.5
2025-10-25 09:53:20,11.62
2025-10-25 09:53:20,11.68
2025-10-25 09:53:20,11.75
2025-10-25 09:53:20,11.81
2025-10-25 09:53:20,11.87
2025-10-25 09:53:20,11.93
2025-10-25 09:53:20,12
2025-10-25 09:53:20,12.06
2025-10-25 09:53:20,12.06
2025-10-25 09:53:20,12.12
2025-10-25 09:53:20,12.18
2025-10-25 09:53:20,12.18
2025-10-25 09:53:20,12.25
2025-10-25 09:53:20,12.31
2025-10-25 09:53:20,12.31
2025-10-25 09:53:20,12.37
2025-10-25 09:53:20,12.43
2025-10-25 09:53:20,12.5
2025-10-25 09:53:20,12.56
2025-10-25 09:53:20,12.68
2025-10-25 09:53:20,12.81
2025-10-25 09:53:20,12.87
2025-10-25 09:53:20,13
2025-10-25 09:53:20,13.06
2025-10-25 09:53:20,13.18
2025-10-25 09:53:21,13.31
2025-10-25 09:53:21,13.43
2025-10-25 09:53:21,13.56
2025-10-25 09:53:21,13.62
2025-10-25 09:53:21,13.75
2025-10-25 09:53:21,13.81
2025-10-25 09:53:21,13.93
2025-10-25 09:53:21,14
2025-10-25 09:53:21,14.18
2025-10-25 09:53:21,14.25
2025-10-25 09:53:21,14.37
2025-10-25 09:53:21,14.43
2025-10-25 09:53:21,14.5
2025-10-25 09:53:21,14.62
2025-10-25 09:53:21,14.75
2025-10-25 09:53:21,14.87
2025-10-25 09:53:21,15
2025-10-25 09:53:21,15.06
2025-10-25 09:53:21,15.25
2025-10-25 09:53:21,15.37
2025-10-25 09:53:21,15.56
2025-10-25 09:53:21,15.75
2025-10-25 09:53:21,16.06
2025-10-25 09:53:21,16.25
2025-10-25 09:53:21,16.43
2025-10-25 09:53:21,16.62
2025-10-25 09:53:21,16.93
2025-10-25 09:53:21,17.18
2025-10-25 09:53:21,17.43
2025-10-25 09:53:21,17.68
2025-10-25 09:53:21,18
2025-10-25 09:53:21,18.25
2025-10-25 09:53:21,18.56
2025-10-25 09:53:21,18.75
2025-10-25 09:53:22,19.06
2025-10-25 09:53:22,19.37
2025-10-25 09:53:22,19.75
2025-10-25 09:53:22,20.06
2025-10-25 09:53:22,20.25
2025-10-25 09:53:22,20.5
2025-10-25 09:53:22,20.75
2025-10-25 09:53:22,21
2025-10-25 09:53:22,21.25
2025-10-25 09:53:22,21.5
2025-10-25 09:53:22,21.68
2025-10-25 09:53:22,21.93
2025-10-25 09:53:22,22.12
2025-10-25 09:53:22,22.37
2025-10-25 09:53:22,22.56
2025-10-25 09:53:22,22.81
2025-10-25 09:53:22,23
2025-10-25 09:53:22,23.31
2025-10-25 09:53:22,23.5
2025-10-25 09:53:22,23.75
2025-10-25 09:53:22,24
2025-10-25 09:53:22,24.18
2025-10-25 09:53:22,24.43
2025-10-25 09:53:22,24.68
2025-10-25 09:53:22,24.93
2025-10-25 09:53:22,25.18
2025-10-25 09:53:22,25.43
2025-10-25 09:53:22,25.68
2025-10-25 09:53:22,25.93
2025-10-25 09:53:22,26.18
2025-10-25 09:53:22,26.43
2025-10-25 09:53:22,26.68
2025-10-25 09:53:22,26.93
2025-10-25 09:53:22,27.18
2025-10-25 09:53:23,27.43
2025-10-25 09:53:23,27.68
2025-10-25 09:53:23,27.93
2025-10-25 09:53:23,28.06
2025-10-25 09:53:23,28.31
2025-10-25 09:53:23,28.56
2025-10-25 09:53:23,28.81
2025-10-25 09:53:23,29
2025-10-25 09:53:23,29.25
2025-10-25 09:53:23,29.43
2025-10-25 09:53:23,29.62
2025-10-25 09:53:23,29.87
2025-10-25 09:53:23,30.18
2025-10-25 09:53:23,30.43
2025-10-25 09:53:23,30.56
2025-10-25 09:53:23,30.81
2025-10-25 09:53:23,31
2025-10-25 09:53:23,31.25
2025-10-25 09:53:23,31.5
2025-10-25 09:53:23,31.68
2025-10-25 09:53:23,31.81
2025-10-25 09:53:23,32.06
2025-10-25 09:53:23,32.25
2025-10-25 09:53:23,32.5
2025-10-25 09:53:23,32.68
2025-10-25 09:53:23,32.93
2025-10-25 09:53:23,33.18
2025-10-25 09:53:23,25.75
2025-10-25 09:53:23,26
2025-10-25 09:53:23,26.25
2025-10-25 09:53:23,26.38
2025-10-25 09:53:23,26.63
2025-10-25 09:53:23,26.88
2025-10-25 09:53:23,27.13
2025-10-25 09:53:23,27.38
2025-10-25 09:53:24,27.63
2025-10-25 09:53:24,27.82
2025-10-25 09:53:24,28.07
2025-10-25 09:53:24,36
2025-10-25 09:53:24,36.25
2025-10-25 09:53:24,36.56
2025-10-25 09:53:24,36.87
2025-10-25 09:53:24,37.06
2025-10-25 09:53:24,37.31
2025-10-25 09:53:24,37.56
2025-10-25 09:53:24,37.81
2025-10-25 09:53:24,38.06
2025-10-25 09:53:24,38.31
2025-10-25 09:53:24,38.5
2025-10-25 09:53:24,38.75
2025-10-25 09:53:24,39.06
2025-10-25 09:53:24,39.25
2025-10-25 09:53:24,39.5
2025-10-25 09:53:24,39.75
2025-10-25 09:53:24,39.93
2025-10-25 09:53:24,40.25
2025-10-25 09:53:24,40.43
2025-10-25 09:53:24,40.68
2025-10-25 09:53:24,40.87
2025-10-25 09:53:24,41.12
2025-10-25 09:53:24,41.31
2025-10-25 09:53:24,41.56
2025-10-25 09:53:24,41.75
2025-10-25 09:53:24,41.93
2025-10-25 09:53:24,42.12
2025-10-25 09:53:24,42.31
2025-10-25 09:53:24,42.56
2025-10-25 09:53:24,42.75
2025-10-25 09:53:24,42.93
