Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec (mode 2 velocity 0)
2025-11-14 17:26:31.192,198,191,200
2025-11-14 17:26:41.191,199,190,200
2025-11-14 17:26:51.191,196,191,200
2025-11-14 17:27:01.191,198,190,200
2025-11-14 17:27:11.193,199,190,200
2025-11-14 17:27:21.192,198,191,200
2025-11-14 17:27:31.191,200,190,200
2025-11-14 17:27:41.191,199,190,200
2025-11-14 17:27:51.190,200,191,200
2025-11-14 17:28:01.191,199,190,200
2025-11-14 17:28:11.191,199,191,200
2025-11-14 17:28:21.190,200,190,200
2025-11-14 17:28:31.192,199,190,200
2025-11-14 17:28:41.191,199,191,200
2025-11-14 17:28:51.192,199,190,200
2025-11-14 17:29:01.191,198,190,200
2025-11-14 17:29:11.192,199,191,200
2025-11-14 17:29:21.190,200,190,200
2025-11-14 17:29:31.190,198,191,200
2025-11-14 17:29:41.191,198,190,200
