Timestamp,Yaw_Angle(degrees),Hex_Byte0,Hex_Byte1,Hex_Byte2,Hex_Byte3,Hex_Byte4,Hex_Byte5,Hex_All
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.75,0xff,0x4b,0xff,0xe7,0x1f,0xef,"ff 4b ff e7 1f ef 00 00"
2025-10-25 14:22:00,81.68,0xff,0x51,0xff,0xe7,0x1f,0xe8,"ff 51 ff e7 1f e8 00 00"
2025-10-25 14:22:00,81.68,0xff,0x51,0xff,0xe7,0x1f,0xe8,"ff 51 ff e7 1f e8 00 00"
2025-10-25 14:22:00,81.62,0xff,0x51,0xff,0xe7,0x1f,0xe2,"ff 51 ff e7 1f e2 00 00"
2025-10-25 14:22:00,81.56,0xff,0x51,0xff,0xe7,0x1f,0xdc,"ff 51 ff e7 1f dc 00 00"
2025-10-25 14:22:00,81.5,0xff,0x51,0xff,0xe7,0x1f,0xd6,"ff 51 ff e7 1f d6 00 00"
2025-10-25 14:22:00,81.43,0xff,0x4b,0xff,0xee,0x1f,0xcf,"ff 4b ff ee 1f cf 00 00"
2025-10-25 14:22:00,81.25,0xff,0x45,0xff,0xee,0x1f,0xbd,"ff 45 ff ee 1f bd 00 00"
