Timestamp,Yaw_Angle(degrees)
2025-10-25 09:59:17,60.68
2025-10-25 09:59:17,61.18
2025-10-25 09:59:17,61.56
2025-10-25 09:59:17,62.31
2025-10-25 09:59:17,62.93
2025-10-25 09:59:17,63.56
2025-10-25 09:59:17,64.18
2025-10-25 09:59:17,64.81
2025-10-25 09:59:18,65.43
2025-10-25 09:59:18,65.87
2025-10-25 09:59:18,66.56
2025-10-25 09:59:18,67.18
2025-10-25 09:59:18,67.87
2025-10-25 09:59:18,68.56
2025-10-25 09:59:18,69.22
2025-10-25 09:59:18,69.75
2025-10-25 09:59:18,70.43
2025-10-25 09:59:18,71.31
2025-10-25 09:59:18,72
2025-10-25 09:59:18,72.62
2025-10-25 09:59:18,73.25
2025-10-25 09:59:18,73.87
2025-10-25 09:59:18,74.31
2025-10-25 09:59:18,74.87
2025-10-25 09:59:18,75.5
2025-10-25 09:59:18,76.06
2025-10-25 09:59:18,76.62
2025-10-25 09:59:18,77.12
2025-10-25 09:59:18,77.43
2025-10-25 09:59:18,77.93
2025-10-25 09:59:18,78.37
2025-10-25 09:59:18,78.87
2025-10-25 09:59:18,79.25
2025-10-25 09:59:18,79.5
2025-10-25 09:59:18,79.87
2025-10-25 09:59:18,80.25
2025-10-25 09:59:18,80.62
2025-10-25 09:59:18,80.93
2025-10-25 09:59:18,81.25
2025-10-25 09:59:18,81.37
2025-10-25 09:59:18,81.62
2025-10-25 09:59:18,81.93
2025-10-25 09:59:19,82.12
2025-10-25 09:59:19,82.31
2025-10-25 09:59:19,82.56
2025-10-25 09:59:19,82.87
2025-10-25 09:59:19,83.06
2025-10-25 09:59:19,83.25
2025-10-25 09:59:19,83.43
2025-10-25 09:59:19,83.62
2025-10-25 09:59:19,83.81
2025-10-25 09:59:19,84.06
2025-10-25 09:59:19,84.25
2025-10-25 09:59:19,84.43
2025-10-25 09:59:19,84.62
2025-10-25 09:59:19,84.81
2025-10-25 09:59:19,85.06
2025-10-25 09:59:19,85.25
2025-10-25 09:59:19,85.5
2025-10-25 09:59:19,85.81
2025-10-25 09:59:19,86
2025-10-25 09:59:19,86.25
2025-10-25 09:59:19,86.5
2025-10-25 09:59:19,86.81
2025-10-25 09:59:19,87.06
2025-10-25 09:59:19,87.37
2025-10-25 09:59:19,87.56
2025-10-25 09:59:19,87.87
2025-10-25 09:59:19,88.18
2025-10-25 09:59:19,88.5
2025-10-25 09:59:19,88.81
2025-10-25 09:59:19,89.12
2025-10-25 09:59:19,89.37
2025-10-25 09:59:19,89.62
2025-10-25 09:59:19,90
2025-10-25 09:59:19,90.31
2025-10-25 09:59:20,90.68
2025-10-25 09:59:20,91
2025-10-25 09:59:20,91.31
2025-10-25 09:59:20,91.56
2025-10-25 09:59:20,91.75
2025-10-25 09:59:20,92.06
2025-10-25 09:59:20,92.31
2025-10-25 09:59:20,92.62
2025-10-25 09:59:20,92.87
2025-10-25 09:59:20,93.12
2025-10-25 09:59:20,93.43
2025-10-25 09:59:20,93.68
2025-10-25 09:59:20,93.93
2025-10-25 09:59:20,94.18
2025-10-25 09:59:20,94.37
2025-10-25 09:59:20,94.62
2025-10-25 09:59:20,94.81
2025-10-25 09:59:20,95.06
2025-10-25 09:59:20,95.18
2025-10-25 09:59:20,95.37
2025-10-25 09:59:20,95.56
2025-10-25 09:59:20,95.81
2025-10-25 09:59:20,96
2025-10-25 09:59:20,96.18
2025-10-25 09:59:20,96.31
2025-10-25 09:59:20,96.5
2025-10-25 09:59:20,96.68
2025-10-25 09:59:20,96.93
2025-10-25 09:59:20,97.18
2025-10-25 09:59:20,97.31
2025-10-25 09:59:20,97.5
2025-10-25 09:59:20,97.68
2025-10-25 09:59:20,97.87
2025-10-25 09:59:20,98.06
2025-10-25 09:59:20,98.25
2025-10-25 09:59:21,98.43
2025-10-25 09:59:21,98.68
2025-10-25 09:59:21,98.81
2025-10-25 09:59:21,98.93
2025-10-25 09:59:21,99.12
2025-10-25 09:59:21,99.31
2025-10-25 09:59:21,99.5
2025-10-25 09:59:21,99.68
2025-10-25 09:59:21,99.81
2025-10-25 09:59:21,99.93
2025-10-25 09:59:21,100
2025-10-25 09:59:21,100.12
2025-10-25 09:59:21,100.25
2025-10-25 09:59:21,100.37
2025-10-25 09:59:21,100.43
2025-10-25 09:59:21,100.5
2025-10-25 09:59:21,100.56
2025-10-25 09:59:21,100.68
2025-10-25 09:59:21,100.75
2025-10-25 09:59:21,100.81
2025-10-25 09:59:21,100.87
2025-10-25 09:59:21,100.93
2025-10-25 09:59:21,100.93
2025-10-25 09:59:21,101
2025-10-25 09:59:21,101
2025-10-25 09:59:21,101.06
2025-10-25 09:59:21,101.06
2025-10-25 09:59:21,101.12
2025-10-25 09:59:21,101.12
2025-10-25 09:59:21,101.12
2025-10-25 09:59:21,101.12
2025-10-25 09:59:21,101.12
2025-10-25 09:59:21,101.12
2025-10-25 09:59:21,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.12
2025-10-25 09:59:22,101.18
2025-10-25 09:59:22,101.18
2025-10-25 09:59:22,101.25
2025-10-25 09:59:22,101.31
2025-10-25 09:59:22,101.37
2025-10-25 09:59:22,101.43
2025-10-25 09:59:22,101.43
2025-10-25 09:59:22,101.5
2025-10-25 09:59:22,101.56
2025-10-25 09:59:22,101.62
2025-10-25 09:59:22,101.68
2025-10-25 09:59:22,101.75
2025-10-25 09:59:22,101.81
2025-10-25 09:59:22,101.87
2025-10-25 09:59:22,102
2025-10-25 09:59:22,102.12
2025-10-25 09:59:22,102.25
2025-10-25 09:59:22,102.43
2025-10-25 09:59:23,102.56
2025-10-25 09:59:23,102.75
2025-10-25 09:59:23,102.93
2025-10-25 09:59:23,103.18
2025-10-25 09:59:23,103.43
2025-10-25 09:59:23,103.75
2025-10-25 09:59:23,104.06
2025-10-25 09:59:23,104.43
2025-10-25 09:59:23,104.81
2025-10-25 09:59:23,105.25
2025-10-25 09:59:23,105.68
2025-10-25 09:59:23,106.12
2025-10-25 09:59:23,106.62
2025-10-25 09:59:23,107.12
2025-10-25 09:59:23,107.62
2025-10-25 09:59:23,108.18
2025-10-25 09:59:23,108.56
2025-10-25 09:59:23,109.12
2025-10-25 09:59:23,109.75
2025-10-25 09:59:23,110.37
2025-10-25 09:59:23,111
2025-10-25 09:59:23,111.62
2025-10-25 09:59:23,112.06
2025-10-25 09:59:23,112.75
2025-10-25 09:59:23,113.43
2025-10-25 09:59:23,114.43
2025-10-25 09:59:23,115.18
2025-10-25 09:59:23,115.68
2025-10-25 09:59:23,116.5
2025-10-25 09:59:23,117.31
2025-10-25 09:59:23,118.18
2025-10-25 09:59:23,118.93
2025-10-25 09:59:23,119.75
2025-10-25 09:59:23,120.25
2025-10-25 09:59:24,121.06
2025-10-25 09:59:24,121.81
2025-10-25 09:59:24,122.62
2025-10-25 09:59:24,123.37
2025-10-25 09:59:24,124.12
2025-10-25 09:59:24,125.18
2025-10-25 09:59:24,125.93
2025-10-25 09:59:24,126.68
2025-10-25 09:59:24,127.43
2025-10-25 09:59:24,127.87
2025-10-25 09:59:24,128.62
2025-10-25 09:59:24,129.37
2025-10-25 09:59:24,130.12
2025-10-25 09:59:24,130.87
2025-10-25 09:59:24,131.37
2025-10-25 09:59:24,132.12
2025-10-25 09:59:24,132.87
2025-10-25 09:59:24,133.62
2025-10-25 09:59:24,134.37
2025-10-25 09:59:24,135.12
2025-10-25 09:59:24,135.93
2025-10-25 09:59:24,136.75
2025-10-25 09:59:24,137.62
2025-10-25 09:59:24,138.43
2025-10-25 09:59:24,139.31
2025-10-25 09:59:24,140.12
2025-10-25 09:59:24,140.68
2025-10-25 09:59:24,141.56
2025-10-25 09:59:24,142.43
2025-10-25 09:59:24,143.37
2025-10-25 09:59:24,144.31
2025-10-25 09:59:24,145.25
2025-10-25 09:59:24,146.12
2025-10-25 09:59:24,146.75
2025-10-25 09:59:24,147.62
2025-10-25 09:59:25,148.75
2025-10-25 09:59:25,149.56
2025-10-25 09:59:25,150.43
2025-10-25 09:59:25,151.25
2025-10-25 09:59:25,152.06
2025-10-25 09:59:25,152.93
2025-10-25 09:59:25,153.75
2025-10-25 09:59:25,154.31
2025-10-25 09:59:25,155.12
2025-10-25 09:59:25,155.87
2025-10-25 09:59:25,156.62
2025-10-25 09:59:25,157.37
2025-10-25 09:59:25,158.18
2025-10-25 09:59:25,158.68
2025-10-25 09:59:25,159.68
2025-10-25 09:59:25,160.43
2025-10-25 09:59:25,161.18
2025-10-25 09:59:25,161.93
2025-10-25 09:59:25,162.68
2025-10-25 09:59:25,163.18
2025-10-25 09:59:25,164
2025-10-25 09:59:25,164.75
2025-10-25 09:59:25,165.56
2025-10-25 09:59:25,166.31
2025-10-25 09:59:25,167.12
2025-10-25 09:59:25,167.68
2025-10-25 09:59:25,168.5
2025-10-25 09:59:25,169.31
2025-10-25 09:59:25,170.18
2025-10-25 09:59:25,171.25
2025-10-25 09:59:25,171.81
2025-10-25 09:59:25,172.56
2025-10-25 09:59:25,173.37
2025-10-25 09:59:25,174.18
2025-10-25 09:59:26,174.93
2025-10-25 09:59:26,175.68
2025-10-25 09:59:26,176.5
2025-10-25 09:59:26,177.18
